rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
75,501094,537002,426063,1044496,241692,594410,606201,375925,642249,214227,699710,417485,660519,550636,244655,425335,158260,429489,290528,631430,166892,179521,331799,357868,204265,471854,308085,251585,297159,135394,485480,269010,275001,269452,240020,513494,443430
76,499759,532532,412877,1043466,239823,577780,603789,375805,641977,209968,691295,412984,643755,541259,235823,416156,154444,425340,286879,628390,163018,173280,312376,356313,203420,467741,306078,248522,294335,128791,462930,259574,270847,261643,232018,507780,429916
77,480267,509068,381027,1041545,236342,572580,586021,374202,613677,208314,682947,411642,618394,538814,233523,401020,146292,416087,283684,621799,161963,170681,312234,348353,197944,445005,279625,248033,281923,118127,437326,253772,268630,254118,229432,507270,426501
78,464311,506980,379406,1040695,233742,555418,581141,362452,600382,203213,678381,406567,611223,538047,229134,392900,145394,412333,283594,618128,157728,166456,304392,343108,195797,443361,279511,243422,274423,116356,422054,235896,267336,244009,228964,505270,425926
79,458606,502773,374799,1031074,205951,548128,557779,360863,599888,198786,667106,405219,610166,537766,220776,389001,144469,407490,273665,610403,156878,165303,302196,338777,192125,441140,279291,240040,270870,115325,421605,235645,267018,238251,226645,491635,421332
80,457571,492969,371639,1022859,197517,532578,527410,346969,588439,189019,648465,388285,607677,534029,220371,374991,126058,403059,271216,605188,148638,164630,297736,338540,188080,429402,276829,228671,267903,114100,410879,225249,254029,236640,221137,488173,408430
81,454436,485985,366047,1017448,194360,530937,508707,344001,572226,188160,625907,383113,605216,522789,205904,361302,124617,401765,261482,604942,135260,160387,291882,336679,187700,416707,275162,227957,264658,113593,392640,223700,245784,234870,210901,487781,406951
82,445078,477499,362327,1007596,190557,529208,508326,343602,570632,182180,623889,381555,596015,514995,205023,355759,124552,401591,255984,604628,127569,156182,290357,333702,184983,410462,272629,219901,254219,112978,391038,220174,239232,231574,209976,454723,384003
83,442049,473846,353395,1004491,189965,513444,499657,338105,564506,181561,616008,371096,587580,511124,196054,345828,121680,385231,253468,604155,127221,155294,284886,324362,184201,380234,259522,219021,253607,111858,389916,220055,238293,229636,202129,450780,381403
84,426436,467695,344029,996071,185679,507360,493619,335393,562387,181238,608242,369333,567720,502491,194820,344200,111325,355742,247207,602658,124474,154682,281660,319866,180779,377612,254596,217403,252579,110005,385431,219727,235147,229038,186509,449698,379841
85,413901,451263,342741,995331,170017,503010,488498,334963,556299,170023,600345,363618,566836,492590,190668,330619,111110,353324,238524,598343,123747,152460,277017,308425,178045,374756,253077,216477,250042,108864,378887,214559,230609,224346,166771,438143,379748
86,411187,443432,334597,992356,167790,499085,478288,332148,516740,168082,571399,361765,557383,492160,189348,319738,105737,352742,230972,596733,123588,152261,262620,301784,177982,371865,251277,213327,248986,105141,377252,205676,229408,217566,165084,433860,377792
87,409233,434113,324560,984999,167370,469204,471016,317382,515249,166143,570673,361017,534624,488161,188950,317446,102907,346134,218927,572362,122147,152102,259747,300031,172813,367079,250187,211577,238859,90873,376755,201280,227970,217004,164808,430935,366648
88,390027,422488,313052,982023,151914,467093,469309,316562,511617,165975,565442,357189,533314,470984,188045,307959,98665,339061,217895,565806,121275,151084,253926,291037,171120,366045,249652,206624,237724,89560,376408,200273,222828,199664,162164,428936,350475
89,387906,417208,305775,980323,150362,464339,465297,310128,510639,159476,564005,350310,530738,468434,182315,303936,97431,338050,217629,557581,119597,148955,253616,291022,168286,348852,242383,206434,225372,83545,375886,199141,220146,195874,154831,419877,349722
90,375181,412420,305517,952864,143447,457491,463018,298395,482415,159384,562826,339952,528515,466085,181327,303429,96856,324561,207368,541821,117312,148862,250296,271763,165622,347593,241527,204454,224638,78266,373665,193743,219567,190160,151489,413950,346932
91,373206,403534,297676,945328,139976,451889,461447,297060,469877,158971,553098,328614,527495,465505,177303,299819,94459,323490,187749,541446,116243,148634,245904,267841,165402,345091,226814,204347,219794,76687,366380,175264,211044,185732,150089,409661,345968
92,370912,401552,292463,945086,139619,450436,452410,287137,434796,153880,547672,324032,524592,460335,176849,297915,93846,307299,186352,537968,104261,148584,238184,258322,160281,337562,225653,196079,216255,70823,357643,171427,209890,185669,149989,408125,332288
93,367898,401450,291809,935964,138909,432364,451283,284136,425673,153361,535707,322268,517364,459192,173666,296846,91821,306901,184340,533127,101961,142514,236186,243227,158845,335085,220792,195247,211109,70564,350155,159197,201218,183099,148188,405856,330136
94,360714,388734,286881,931310,134829,428920,450698,265623,424058,149145,532909,322171,515416,455815,159115,295620,90665,305950,181508,526154,99287,137325,233369,239889,156931,334875,217967,195132,202040,70313,341379,158957,197256,177677,146639,396337,316289
95,342199,387798,273261,927229,134280,422825,449128,262646,416496,147752,529074,321135,506240,436044,156415,293192,85299,305348,175557,516514,99203,134432,230802,239277,150568,334374,215733,191362,187203,70164,334831,158006,196572,175340,142780,386120,313541
96,341983,383886,261467,906703,128729,422233,447861,258714,411357,146590,520019,311115,489237,408705,154133,286886,75477,300809,167510,500710,98278,131596,227400,230183,148803,332238,211755,187802,183872,69574,323596,156435,192536,175325,142581,383262,310428
97,313143,379887,261023,891676,126289,421087,445457,258104,408470,146057,517613,304090,469506,394677,154037,281319,74507,285395,166234,482849,97048,130942,221469,226124,147254,331809,206087,182329,183471,69024,320879,154879,182411,169253,141172,379881,301706
98,309436,363127,243847,873927,118370,382532,437824,252849,408254,142201,514855,303855,458809,390058,152856,281065,70785,284928,160246,479792,92122,127376,203408,223422,146367,326377,202294,177629,182403,68794,318460,152392,174883,168964,140985,374288,301418
99,308331,361998,233000,870364,116352,382101,435677,245953,403512,142050,512158,287200,455232,387145,145708,278347,70109,263820,152547,477296,91709,121108,202479,222599,141685,317170,180643,175878,174466,68402,318240,150029,173378,166749,139662,365380,299507
