rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
79,2852694,3001040,3025042,4549347,3061792,2711098,3530996,2828759,2904163,2367710,4313249,2656565,4893928,2605017,2505219,2713731,2153066,2600341,2526214,4352412,1795053,2342335,2400000,2559221,2421855,2702266,2607742,2218581,3016270,2190247,2735477,2467679,2549059,2516452,2601667,5216232,2401121
80,2836467,3000058,3022245,4532944,3061346,2705627,3524780,2818733,2904044,2366393,4309668,2656565,4885537,2600386,2505049,2711445,2152578,2598188,2520551,4350921,1792980,2339263,2399095,2558708,2404189,2696673,2606250,2218336,3012320,2188861,2734154,2459198,2542827,2514025,2600020,5216164,2401105
81,2836010,3000000,3021415,4527138,3060962,2694353,3518539,2814751,2897332,2363808,4303861,2654556,4883221,2592576,2503217,2707407,2143991,2593975,2518767,4350533,1789212,2339065,2386082,2552491,2377118,2691419,2605207,2214527,3011046,2187972,2721350,2457889,2535914,2513729,2598764,5216069,2398944
82,2828656,3000000,3014657,4523167,3059127,2690066,3517351,2812781,2896000,2362372,4301572,2653919,4872215,2588989,2501664,2704220,2141643,2589606,2515027,4349303,1786503,2338577,2381897,2546723,2376966,2685410,2604576,2211012,3007653,2183807,2707058,2449808,2529193,2512974,2575385,5214881,2392963
83,2823561,2987298,3008893,4510937,3053779,2686911,3511874,2810930,2892652,2361867,4275584,2648656,4863267,2577389,2500607,2704037,2136976,2586117,2514517,4346810,1782288,2338474,2379074,2538937,2353209,2682845,2604439,2203930,3007286,2181375,2700956,2447371,2525211,2512202,2571736,5209399,2386051
84,2821639,2962964,3007425,4510617,3053081,2682477,3511308,2806548,2884816,2359983,4275464,2648320,4856943,2572919,2500560,2688907,2131889,2583095,2514314,4344612,1782169,2333993,2375443,2537071,2350521,2674171,2603751,2203882,3006523,2180816,2700467,2444851,2512089,2511238,2567108,5208126,2381076
85,2819159,2940936,3006822,4506375,3051685,2677661,3510261,2803529,2883888,2359542,4268119,2647644,4854479,2568247,2500251,2683783,2129449,2573467,2509788,4333809,1780088,2332231,2371259,2531244,2348315,2663661,2591776,2202614,3004941,2175824,2696767,2436855,2511596,2506066,2566810,5204634,2371936
86,2802137,2938198,3006202,4504044,3051552,2677640,3509111,2798799,2878445,2358077,4263255,2646520,4846507,2566586,2491280,2672547,2123180,2570579,2507873,4323750,1778698,2331968,2370971,2528322,2347991,2661350,2588199,2202293,3004218,2173908,2694007,2433603,2509639,2504898,2562904,5203634,2366065
87,2799574,2936490,3002050,4500434,3051375,2673796,3508808,2797853,2870370,2358058,4260918,2642147,4845906,2562756,2477460,2658874,2123009,2563207,2507219,4323720,1778482,2329481,2368876,2527703,2347293,2654119,2588178,2201194,3000441,2172643,2693458,2428809,2507540,2503397,2562621,5194326,2360474
88,2798656,2934063,3001557,4496672,3050441,2671025,3506123,2796344,2868299,2356895,4255102,2641577,4844950,2562019,2471890,2654768,2118784,2559688,2506890,4322106,1778050,2328594,2362162,2527117,2345678,2646971,2578009,2197283,3000133,2171751,2692255,2423844,2502833,2503138,2560654,5171201,2359789
